"duplicate_group","sha256","member_count","member_index","path","filename","file_extension","file_size_bytes","year","problem_code","recorded_at"
"DG00001","818BDC2F033D9BA3C067BEAC5B48C18EE071999BFF4503285A89AC29DBD9E92C","2","1","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题一与问题三matlab程序/biaodian.m","biaodian.m",".m","81","2011","unknown","2026-08-17T19:01:53+08:00"
"DG00001","818BDC2F033D9BA3C067BEAC5B48C18EE071999BFF4503285A89AC29DBD9E92C","2","2","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/biaodian.m","biaodian.m",".m","81","2011","unknown","2026-08-17T19:01:53+08:00"
"DG00002","317583926490B44AB18AAF4FF86B018CE94D3187BF4B467D3D53B42AF37FE6DF","3","1","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题一与问题三matlab程序/biaodian2.m","biaodian2.m",".m","80","2011","unknown","2026-08-17T19:01:53+08:00"
"DG00002","317583926490B44AB18AAF4FF86B018CE94D3187BF4B467D3D53B42AF37FE6DF","3","2","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/biaodian2.m","biaodian2.m",".m","80","2011","unknown","2026-08-17T19:01:53+08:00"
"DG00002","317583926490B44AB18AAF4FF86B018CE94D3187BF4B467D3D53B42AF37FE6DF","3","3","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/biaodian2.m","biaodian2.m",".m","80","2011","unknown","2026-08-17T19:01:53+08:00"
"DG00003","6B847BBE3EB5FDB67C058B75A17A3985DB1FD18B8BE36B18C1333FDBC74B5BC3","3","1","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题一与问题三matlab程序/data.mat","data.mat",".mat","4483","2011","unknown","2026-08-17T19:01:53+08:00"
"DG00003","6B847BBE3EB5FDB67C058B75A17A3985DB1FD18B8BE36B18C1333FDBC74B5BC3","3","2","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/data.mat","data.mat",".mat","4483","2011","unknown","2026-08-17T19:01:53+08:00"
"DG00003","6B847BBE3EB5FDB67C058B75A17A3985DB1FD18B8BE36B18C1333FDBC74B5BC3","3","3","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/data.mat","data.mat",".mat","4483","2011","unknown","2026-08-17T19:01:53+08:00"
"DG00004","3EB82AE610959BB734509BB8DA1EDF8C953155C82D28FB3279AE7E490C9AC5AA","4","1","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题一与问题三matlab程序/floyd.m","floyd.m",".m","304","2011","unknown","2026-08-17T19:01:53+08:00"
"DG00004","3EB82AE610959BB734509BB8DA1EDF8C953155C82D28FB3279AE7E490C9AC5AA","4","2","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/floyd.m","floyd.m",".m","304","2011","unknown","2026-08-17T19:01:53+08:00"
"DG00004","3EB82AE610959BB734509BB8DA1EDF8C953155C82D28FB3279AE7E490C9AC5AA","4","3","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/floyd.m","floyd.m",".m","304","2011","unknown","2026-08-17T19:01:53+08:00"
"DG00004","3EB82AE610959BB734509BB8DA1EDF8C953155C82D28FB3279AE7E490C9AC5AA","4","4","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题四matlab程序/floyd.m","floyd.m",".m","304","2011","unknown","2026-08-17T19:01:53+08:00"
"DG00005","D47640D640B541D550786FF098684EC5721CC640A85858D6E6FA7D033044B551","2","1","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题一与问题三matlab程序/juliw.asv","juliw.asv",".asv","1017","2011","unknown","2026-08-17T19:01:53+08:00"
"DG00005","D47640D640B541D550786FF098684EC5721CC640A85858D6E6FA7D033044B551","2","2","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题一与问题三matlab程序/juliw.m","juliw.m",".m","1017","2011","unknown","2026-08-17T19:01:53+08:00"
"DG00006","7C08D48D75D35FC396A653FD4073B8A37EC758CF195F638939061CAC4E4335BD","2","1","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/arrow.m","arrow.m",".m","54586","2011","unknown","2026-08-17T19:01:53+08:00"
"DG00006","7C08D48D75D35FC396A653FD4073B8A37EC758CF195F638939061CAC4E4335BD","2","2","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/arrow.m","arrow.m",".m","54586","2011","unknown","2026-08-17T19:01:53+08:00"
"DG00007","B22C5ECD1BCD4DCB8CF2DBAF4D75215E274E6C0EC499C6D897053C88E2916AE4","2","1","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/bianh.m","bianh.m",".m","208","2011","unknown","2026-08-17T19:01:53+08:00"
"DG00007","B22C5ECD1BCD4DCB8CF2DBAF4D75215E274E6C0EC499C6D897053C88E2916AE4","2","2","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/bianh.m","bianh.m",".m","208","2011","unknown","2026-08-17T19:01:53+08:00"
"DG00008","9E6FAA3E550CDA72DF7CDE040C6EACE88FBD3C8C35EF3C125557B8759EEC88B2","2","1","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/caif.m","caif.m",".m","460","2011","unknown","2026-08-17T19:01:53+08:00"
"DG00008","9E6FAA3E550CDA72DF7CDE040C6EACE88FBD3C8C35EF3C125557B8759EEC88B2","2","2","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/caif.m","caif.m",".m","460","2011","unknown","2026-08-17T19:01:53+08:00"
"DG00009","208F2860344AF9CBB1E984B5A98B18E4E299CB6187982B4675B0D896BE44C3C4","2","1","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/chuchun.m","chuchun.m",".m","148","2011","unknown","2026-08-17T19:01:53+08:00"
